scale,lan_profile,P,rep,bw_mbps,tcp_flows_total,status
5,1,1,1,338.2,2,OK
5,1,1,2,330.9,2,OK
5,1,1,3,332.9,2,OK
5,1,8,1,358.3,9,OK
5,1,8,2,353.0,9,OK
5,1,8,3,354.1,9,OK
4,1,1,1,322.9,2,OK
4,1,1,2,324.7,2,OK
4,1,1,3,325.1,2,OK
4,1,8,1,352.6,9,OK
4,1,8,2,351.8,9,OK
4,1,8,3,352.0,9,OK
3,1,1,1,318.8,2,OK
3,1,1,2,321.5,2,OK
3,1,1,3,325.5,2,OK
3,1,8,1,352.2,9,OK
3,1,8,2,355.6,9,OK
3,1,8,3,352.8,9,OK
5,2,1,1,339.2,2,OK
5,2,1,2,333.6,2,OK
5,2,1,3,334.2,2,OK
5,2,8,1,351.7,9,OK
5,2,8,2,352.6,9,OK
5,2,8,3,352.2,9,OK
4,2,1,1,333.5,2,OK
4,2,1,2,338.3,2,OK
4,2,1,3,355.2,2,OK
4,2,8,1,355.2,9,OK
4,2,8,2,355.1,9,OK
4,2,8,3,355.1,9,OK
3,2,1,1,337.6,2,OK
3,2,1,2,334.0,2,OK
3,2,1,3,339.5,2,OK
3,2,8,1,356.2,9,OK
3,2,8,2,353.0,9,OK
3,2,8,3,354.1,9,OK
